:START_ID,:END_ID,:TYPE
eDqPBPit4nCy_qLEE6AA9A,uYljlxIY3cHRqxCC_MRtYQ,has review
I2XpWCHAom1JRyHXZQrnfg,uYljlxIY3cHRqxCC_MRtYQ,wrote review
uYljlxIY3cHRqxCC_MRtYQ,a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,2cec89a1-3d71-417f-91e5-395e5e1ae4b6,has aspect
2cec89a1-3d71-417f-91e5-395e5e1ae4b6,a58c956f-5454-4138-8a71-4eedfca8d17b,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,885828aa-6867-4448-8044-930eade6668c,has aspect
885828aa-6867-4448-8044-930eade6668c,f1c1feb0-00fa-48e0-bf31-d4b70da58e29,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,33111a65-ade1-4205-ba9d-3b9a20160c33,has aspect
33111a65-ade1-4205-ba9d-3b9a20160c33,7f563938-537c-4384-bed8-79385898801f,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,cc6b1236-469a-4881-a7e3-7cf4522d7edb,has aspect
cc6b1236-469a-4881-a7e3-7cf4522d7edb,fd40a44f-a369-42c3-9799-7b9a31302937,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,fcb9dcec-3b2f-4f49-b23f-0f6f1df1614a,has aspect
fcb9dcec-3b2f-4f49-b23f-0f6f1df1614a,10f0ed37-c1f4-4b27-825d-af4af9069ac9,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,91c19c37-bd75-443e-a0cf-3687280c56d6,has aspect
91c19c37-bd75-443e-a0cf-3687280c56d6,18729337-c314-49c0-8eb8-1ef5829b1e53,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,dae62007-9cff-4ddf-bd22-dc106fa884bb,has aspect
dae62007-9cff-4ddf-bd22-dc106fa884bb,ac45e688-dc6f-450c-810f-188747b1455a,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,af7320e0-f0fb-4c1e-8005-c30cdea6758c,has aspect
af7320e0-f0fb-4c1e-8005-c30cdea6758c,2f96807b-0a83-4a2b-af6c-93c17f887438,has aspect
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,2be877ac-d30b-4b2f-8171-08cf1b60f662,has aspect
2be877ac-d30b-4b2f-8171-08cf1b60f662,4bc314b7-f50b-4bae-bb20-eff14abedd53,has aspect
Zx7n8mdt8OzLRXVzolXNhQ,T6JsZvZqnQx460A-bHYb2A,has review
Bqv_9yGw3ybiOYHrbu9F6g,T6JsZvZqnQx460A-bHYb2A,wrote review
T6JsZvZqnQx460A-bHYb2A,f2a0fb1c-e4bf-4b4c-98a8-d580bb544e3a,has aspect
f2a0fb1c-e4bf-4b4c-98a8-d580bb544e3a,15979984-e7a0-4bee-9e73-17a29f8b877a,has aspect
15979984-e7a0-4bee-9e73-17a29f8b877a,ea2aa78b-8492-42ad-83b0-dec7428fd0df,has aspect
T6JsZvZqnQx460A-bHYb2A,ebf77cd6-9cdd-4591-89a3-d77830ea11d0,has aspect
ebf77cd6-9cdd-4591-89a3-d77830ea11d0,3643301e-5df0-4b6f-a7eb-c60ef7c0cbd3,has aspect
3643301e-5df0-4b6f-a7eb-c60ef7c0cbd3,5496abab-aa01-4e24-88d1-ae716137be80,has aspect
T6JsZvZqnQx460A-bHYb2A,cec54939-5754-423d-ab13-a7985440c84b,has aspect
cec54939-5754-423d-ab13-a7985440c84b,e7609d81-cefd-4940-af8a-2acb98348a19,has aspect
e7609d81-cefd-4940-af8a-2acb98348a19,9213f356-22ef-4847-aa33-c4e19f015963,has aspect
cec54939-5754-423d-ab13-a7985440c84b,c9232016-c7c0-4ade-9e95-65eba8eb8cdf,has aspect
c9232016-c7c0-4ade-9e95-65eba8eb8cdf,a9c613b8-4a07-495b-a130-04cdddfaf241,has aspect
cec54939-5754-423d-ab13-a7985440c84b,7e2eb8fa-4a79-4269-8d59-7ae119088dd5,has aspect
7e2eb8fa-4a79-4269-8d59-7ae119088dd5,4f9a99f3-385f-458b-8f64-a3d31a3af609,has aspect
ebf77cd6-9cdd-4591-89a3-d77830ea11d0,fe4e191c-456f-4298-a794-a3b2345113b2,has aspect
fe4e191c-456f-4298-a794-a3b2345113b2,76244b7e-2d3a-426e-b66a-2114b1ce3161,has aspect
T6JsZvZqnQx460A-bHYb2A,f66276b7-6533-4e19-87f4-88512f0a7806,has aspect
f66276b7-6533-4e19-87f4-88512f0a7806,28a451f1-0c09-4b97-a2e9-4972d7db1c2c,has aspect
28a451f1-0c09-4b97-a2e9-4972d7db1c2c,af654903-feb3-46cd-9412-680b21052e1e,has aspect
-VlBFlHwX-Pt6Xyzs9roGw,97O5_qhIvLuG2qH1IwnOZw,has review
hiWaClvRZe_oSK8UqE8qpw,97O5_qhIvLuG2qH1IwnOZw,wrote review
97O5_qhIvLuG2qH1IwnOZw,903816c6-4610-46f1-be82-490e2a4e4f8e,has aspect
903816c6-4610-46f1-be82-490e2a4e4f8e,1823987f-b791-4da2-9b50-0f64a63f89f2,has aspect
1823987f-b791-4da2-9b50-0f64a63f89f2,841f9dc3-839f-44aa-a89b-6229d62223e0,has aspect
903816c6-4610-46f1-be82-490e2a4e4f8e,61641010-8b1b-43f8-b597-6306d154cd10,has aspect
61641010-8b1b-43f8-b597-6306d154cd10,3baef412-0adb-4e9c-9038-995ff92fd66b,has aspect
97O5_qhIvLuG2qH1IwnOZw,45dda204-394c-4d8f-8b82-ac1be260185c,has aspect
45dda204-394c-4d8f-8b82-ac1be260185c,8385aaa1-0cb1-4b92-9aa4-c83fcfd49e7f,has aspect
8385aaa1-0cb1-4b92-9aa4-c83fcfd49e7f,1c486131-80b4-4faa-90eb-00bc7bda6037,has aspect
97O5_qhIvLuG2qH1IwnOZw,9432b187-9bac-4d99-a9df-6cc298c51a5a,has aspect
9432b187-9bac-4d99-a9df-6cc298c51a5a,ce5750b7-39a8-43a4-a4a8-af0651ad863c,has aspect
ce5750b7-39a8-43a4-a4a8-af0651ad863c,dc054734-042d-41d4-8081-283ba2916954,has aspect
9432b187-9bac-4d99-a9df-6cc298c51a5a,74ded1e0-0d89-4651-809d-4816b49608cc,has aspect
74ded1e0-0d89-4651-809d-4816b49608cc,729e02e5-fa39-4160-bbd7-b0d927d6b198,has aspect
97O5_qhIvLuG2qH1IwnOZw,1cd8048c-5adb-43aa-9d9a-e01730e758e7,has aspect
1cd8048c-5adb-43aa-9d9a-e01730e758e7,efa00b44-e640-4500-89e6-13654af41877,has aspect
efa00b44-e640-4500-89e6-13654af41877,af7982eb-77cb-4a47-b38a-0e9f5990cb34,has aspect
9432b187-9bac-4d99-a9df-6cc298c51a5a,8c70aaba-ca98-443c-9931-65a385335e86,has aspect
8c70aaba-ca98-443c-9931-65a385335e86,42be76a2-f2f4-45c6-9139-d13ed4cd538c,has aspect
Q28dC_GfG-vbhjqV9_ITtw,BW6wDsj2cB5mfc1jPBpnIA,has review
4RS2kz_qSh54KIkJAjAkqA,BW6wDsj2cB5mfc1jPBpnIA,wrote review
BW6wDsj2cB5mfc1jPBpnIA,98def357-94c2-495e-8933-6ee9c2aecc17,has aspect
98def357-94c2-495e-8933-6ee9c2aecc17,0507bc01-2430-4813-a992-2eeb86289ed9,has aspect
0507bc01-2430-4813-a992-2eeb86289ed9,eff3e2c0-dd32-4310-accb-f6a22a5716c9,has aspect
98def357-94c2-495e-8933-6ee9c2aecc17,e8d1bd5a-2a0b-40ca-859b-d9fdf0bea8e2,has aspect
e8d1bd5a-2a0b-40ca-859b-d9fdf0bea8e2,bda0ab20-61fb-462d-a1ad-161ffe81b7c1,has aspect
BW6wDsj2cB5mfc1jPBpnIA,1ae58e70-a988-4ce1-82fe-5e3e6ae5b037,has aspect
1ae58e70-a988-4ce1-82fe-5e3e6ae5b037,3c46528d-94de-4a95-b26f-d6f9642cbaa3,has aspect
3c46528d-94de-4a95-b26f-d6f9642cbaa3,c3929dd4-5c3c-4b66-8038-f8d9e3f1f968,has aspect
